,Gmt time,Open,High,Low,Close,Volume,Close_7,True_Close_7,buy_profit,sell_profit
1975.0,29.05.2016 00:00:00.000,1.11126,1.11154,1.11068,1.11082,10520.7695,1.1114886,1.13627,0.025449999999999973,0.0
1976.0,30.05.2016 00:00:00.000,1.1108,1.11495,1.10978,1.11475,118135.0,1.1107224,1.13557,0.0,-0.02082000000000006
1982.0,05.06.2016 00:00:00.000,1.13533,1.13715,1.13448,1.13512,15770.9004,1.1187402,1.12877,0.0,0.006349999999999856
1987.0,10.06.2016 00:00:00.000,1.13098,1.13214,1.12452,1.12498,196036.6563,1.1185992,1.13469,0.0,-0.009709999999999885
1990.0,13.06.2016 00:00:00.000,1.12379,1.13028,1.12323,1.12877,201026.0469,1.1178975,1.12494,0.0,0.00383
1991.0,14.06.2016 00:00:00.000,1.12877,1.12985,1.11889,1.12103,198706.8281,1.1119728,1.13256,0.0,-0.01153000000000004
1999.0,22.06.2016 00:00:00.000,1.12495,1.13475,1.12366,1.13256,228912.9531,1.1198459,1.1103,0.0,0.022259999999999946
2000.0,23.06.2016 00:00:00.000,1.13257,1.14278,1.12693,1.13328,264083.1563,1.1242045,1.11365,0.0,0.019630000000000036
2004.0,27.06.2016 00:00:00.000,1.10395,1.10837,1.09709,1.10137,293307.875,1.1131396,1.10635,0.0049799999999999844,0.0
2007.0,30.06.2016 00:00:00.000,1.11221,1.11545,1.10241,1.1103,276728.0,1.1129551,1.10497,-0.005330000000000057,0.0
2011.0,04.07.2016 00:00:00.000,1.11273,1.11595,1.10979,1.11444,155125.2969,1.1110018,1.106,0.0,0.008440000000000003
2012.0,05.07.2016 00:00:00.000,1.11443,1.11863,1.10581,1.10635,215501.8125,1.106912,1.10949,0.0031400000000001427,0.0
2020.0,13.07.2016 00:00:00.000,1.106,1.11199,1.1042,1.10949,227676.875,1.1049355,1.1032,0.0,0.006290000000000129
2026.0,19.07.2016 00:00:00.000,1.10681,1.10804,1.1,1.10135,204482.0,1.0986242,1.10671,0.0,-0.005360000000000031
2027.0,20.07.2016 00:00:00.000,1.10135,1.10301,1.09815,1.10163,676855.5,1.0972669,1.10825,0.0,-0.006619999999999848
2034.0,27.07.2016 00:00:00.000,1.09871,1.10737,1.09612,1.10671,922284.125,1.1078545,1.11347,0.006759999999999877,0.0
2035.0,28.07.2016 00:00:00.000,1.10671,1.11195,1.10591,1.10825,1100398.25,1.1071837,1.10854,0.0,-0.0002900000000001235
2041.0,03.08.2016 00:00:00.000,1.12178,1.1219,1.11406,1.11501,897749.5,1.1162838,1.11382,-0.0011900000000000244,0.0
2055.0,17.08.2016 00:00:00.000,1.12759,1.13159,1.12407,1.12989,803391.0625,1.1199148,1.12865,0.0,0.0012400000000001299
2061.0,23.08.2016 00:00:00.000,1.13171,1.13553,1.12996,1.13016,954660.875,1.1157324,1.11562,0.0,0.014539999999999997
2063.0,25.08.2016 00:00:00.000,1.12609,1.12974,1.12592,1.12865,621790.5,1.1144627,1.11539,0.0,0.013259999999999827
2069.0,31.08.2016 00:00:00.000,1.11498,1.11654,1.11232,1.11562,1098957.375,1.1133745,1.12684,0.0,-0.011220000000000008
2071.0,02.09.2016 00:00:00.000,1.11985,1.12521,1.11503,1.11539,1075797.875,1.1164051,1.12406,0.008669999999999956,0.0
2088.0,19.09.2016 00:00:00.000,1.11576,1.11978,1.11507,1.11771,1147771.375,1.1188787,1.1217,0.003989999999999938,0.0
2090.0,21.09.2016 00:00:00.000,1.1153,1.11966,1.1123,1.1189,1286159.125,1.114288,1.12186,0.0,-0.0029600000000000737
2095.0,26.09.2016 00:00:00.000,1.12373,1.12792,1.12211,1.125,1170617.75,1.1153303,1.12091,0.0,0.004089999999999927
2099.0,30.09.2016 00:00:00.000,1.12187,1.12507,1.11533,1.12392,1372345.25,1.110661,1.11945,0.0,0.004469999999999974
2102.0,03.10.2016 00:00:00.000,1.12328,1.12416,1.12052,1.12091,1000987.125,1.110755,1.10573,0.0,0.015179999999999971
2105.0,06.10.2016 00:00:00.000,1.12059,1.12103,1.11252,1.11418,1092857.875,1.1044648,1.09697,0.0,0.017209999999999948
