,Gmt time,Open,High,Low,Close,Volume
1539,20.03.2015 00:00:00.000,1.0669,1.08816,1.06555,1.0816,186733.2031
1541,22.03.2015 00:00:00.000,1.08404,1.08828,1.08155,1.08251,12113.1504
1542,23.03.2015 00:00:00.000,1.08253,1.09713,1.07673,1.09441,258421.7031
1543,24.03.2015 00:00:00.000,1.09441,1.10292,1.08904,1.09045,220623.4063
1544,25.03.2015 00:00:00.000,1.09045,1.10144,1.09042,1.09632,197666.6406
1545,26.03.2015 00:00:00.000,1.09631,1.10522,1.08564,1.08848,257044.9063
1546,27.03.2015 00:00:00.000,1.0885,1.09485,1.08011,1.08874,223256.375
1548,29.03.2015 00:00:00.000,1.08861,1.0895,1.08802,1.08828,8485.6299
1549,30.03.2015 00:00:00.000,1.08828,1.08842,1.08098,1.08292,182633.5938
1550,31.03.2015 00:00:00.000,1.08289,1.08455,1.0713,1.07399,204475.3125
1551,01.04.2015 00:00:00.000,1.07398,1.07999,1.07184,1.07695,194190.0469
1552,02.04.2015 00:00:00.000,1.07694,1.0905,1.07502,1.08697,189762.0156
1553,03.04.2015 00:00:00.000,1.08699,1.1027,1.08638,1.09713,91984.5234
1555,05.04.2015 00:00:00.000,1.10004,1.10178,1.09877,1.09946,11020.71
1556,06.04.2015 00:00:00.000,1.09946,1.10356,1.091,1.09343,108858.4609
1557,07.04.2015 00:00:00.000,1.09343,1.09547,1.08032,1.0822,189290.5938
1558,08.04.2015 00:00:00.000,1.0822,1.08873,1.07629,1.07846,212964.4063
1559,09.04.2015 00:00:00.000,1.07848,1.07886,1.06377,1.06665,189056.5625
1560,10.04.2015 00:00:00.000,1.06665,1.06837,1.05679,1.06022,171200.25
1562,12.04.2015 00:00:00.000,1.05853,1.0617,1.05849,1.06064,9540.7695
1563,13.04.2015 00:00:00.000,1.06064,1.0619,1.05203,1.05719,181537.0156
1564,14.04.2015 00:00:00.000,1.05717,1.07074,1.05315,1.06466,192790.2344
1565,15.04.2015 00:00:00.000,1.06466,1.07017,1.05708,1.06763,207598.9063
1566,16.04.2015 00:00:00.000,1.06763,1.08175,1.06247,1.0758,280074.0938
1567,17.04.2015 00:00:00.000,1.07581,1.08487,1.07335,1.08048,220402.6406
1569,19.04.2015 00:00:00.000,1.08186,1.0821,1.07887,1.08082,8735.2998
1570,20.04.2015 00:00:00.000,1.08082,1.08185,1.07124,1.07485,204972.4375
1571,21.04.2015 00:00:00.000,1.07485,1.07811,1.06599,1.07384,198316.8281
1572,22.04.2015 00:00:00.000,1.07383,1.08008,1.07086,1.07245,222413.9844
1573,23.04.2015 00:00:00.000,1.07247,1.08452,1.06659,1.08138,243734.0625
1574,24.04.2015 00:00:00.000,1.08138,1.09,1.07848,1.08706,226494.8125
1576,26.04.2015 00:00:00.000,1.08634,1.08744,1.08594,1.08655,8254.1602
1577,27.04.2015 00:00:00.000,1.08657,1.09266,1.08192,1.08764,197673.6563
1578,28.04.2015 00:00:00.000,1.08761,1.0991,1.08598,1.09677,212064.5469
1579,29.04.2015 00:00:00.000,1.09678,1.11879,1.09595,1.11121,268375.6563
1580,30.04.2015 00:00:00.000,1.11121,1.12662,1.10712,1.12116,282180.0938
1581,01.05.2015 00:00:00.000,1.12117,1.129,1.11746,1.11948,161846.9375
1583,03.05.2015 00:00:00.000,1.11918,1.12005,1.11822,1.11885,8498.5898
1584,04.05.2015 00:00:00.000,1.11885,1.12245,1.11228,1.11487,170489.2656
1585,05.05.2015 00:00:00.000,1.11487,1.12231,1.10663,1.11797,234895.6406
1586,06.05.2015 00:00:00.000,1.11794,1.137,1.1175,1.13391,240872.4063
1587,07.05.2015 00:00:00.000,1.13391,1.13916,1.12282,1.12444,253915.25
1588,08.05.2015 00:00:00.000,1.12445,1.1288,1.1179,1.12,234932.8281
